ID	year of publication	Title	Author	Published in	Country 	Main method	Extracted from	Environment
148	1987	Feeding tests of grassland soil-inhabiting gamasine predators. 	Sardar, M. A. - Murphy, P. W.	Acarologia, 28(2): 117-121.	United Kingdom	laboratory assay feeding test	in Table 1 pp 119; in Krantz, G. W. & Walter D. E. (2009) pp. 144; in Buryn and Brandl 1992	Grassland
150	1966	Zagadnienie drapieznictwa roztoczy (Acarina) na jajach korników (Scolytidae, Coleoptera.	Kiełczewski, B. - Bałazy, S.	Ekologia Polska. 12: 161-163.		obs	in Krantz, G. W. & Walter D. E. (2009) pp. 144	
152	1953	Milben und fadenwürmer als symphoristen und parasiten des buchdruckers. 	Hirschmann, W. - Rühm, W.	Mikrokosmos. 43: 7-10.			in Krantz, G. W. & Walter D. E. (2009) pp. 144	
153	1974	Rhodacaridae (Acari: Mesostigmata) from near Adelaide. Australia. 3. Behaviour and development. 	Lee, D. C.	Acarologia, 16(1): 21-44	Australia	Feeding behavior observation in the laboratory	in pp. 27; in Krantz, G. W. & Walter D. E. (2009) pp. 145	Forest
154	1980	Taxonomic and ecological studies in the family Parholaspidae (Acari, Mesostigmata) from Japan.	Ishikawa, K.	Bull. Natl. Sci. Mus. 6: 1 - 25			in Krantz, G. W. & Walter D. E. (2009) pp. 146	
156	1975	Notes on the biology of Arctoseius cetratus (Sellnick)(Mesostigmata: Ascidae). 	Binns, E. S.	Acarologia, 16(4): 577-582.		Laboratory assay	in Krantz, G. W. & Walter D. E. (2009) pp. 140; in Buryn and Brandl 1992	Agroecosystem
158	1998	Revision of the Australian Ascidae (Acarina: Mesostigmata).	Halliday, R. B. - Walter, D. E. - Lindquist, E. E.	Invertebrate Systematics. 12(1): 1-54.	Australia	laboratory conditions	in Krantz, G. W. & Walter D. E. (2009) pp. 150	Forest
159	1987	Life history trophic behaviour and descriptions of Gamaselloides vermivorax n. sp. (Mesostigmata: Ascidae) a predator of nematodes and arthropods in semiarid grassland soils	Walter, D. E.	Can. J. Zool. 65: 1689 - 1695	United States	laboratory conditions	in Krantz, G. W. & Walter D. E. (2009) pp. 150	Grassland
160	1986	Notes on the biology and feeding habits of. Protogamasellus minutus	Afifi, A. M. - Hassan, M. F. - Nawar, M. S. 	Bull. Soc. Entomol. Egypt. 66: 251-259		Feeding behaviour in laboratory assay	in Krantz, G. W. & Walter D. E. (2009) pp. 150	
162	1989	Life history and behavior of mites in the genus Lasioseius (Acari: Mesostigmata: Ascidae) from grassland soils in Colorado, with taxonomic notes and description of a new species. 	Walter, D. E. - Lindquist, E. E.	Canadian Journal of Zoology, 67(11), 2797-2813.	United States	Observation	in Krantz, G. W. & Walter D. E. (2009) pp. 150, 153	Grassland
163	1963	A study of the biology of two species of Podocinidae (Acarina: Mesostigmata) 	Wong, C. L.	Doctoral dissertation. Univ. Kans. Sci. Bull. 68: 575-600		Laboratory assay	in Krantz, G. W. & Walter D. E. (2009) pp. 152	
164	1979	Functional morphology of the gnathosoma of some liquid and solid feeders in the Trombidiformes, Crytostigmata and Astigmata (Acarina). 	Theron, P. D.	In Proceedings of the 4th International Congress of Acarology, Saalfelden (Austria)/ed Edward Piffl. Budapest, Akademiai Kiado		mouth parts analysis	in Krantz, G. W. & Walter D. E. (2009) pp. 233	
165	1980	Morphological investigations of European Nicoletiellidae (Acari, Trombidiformes). 	Vistorin, H. E. 	Acarologia, 21(3-4): 367-383.		Observations	in Krantz, G. W. & Walter D. E. (2009) pp. 236	
166	1974	The introduction of Bdellodes lapidaria (Acari: Bdellidae) from Australia into South Africa for the biological control of Sminthurus viridis (Collembola). 	Wallace, M. M. H. - Walters, M. C.	Australian Journal of Zoology, 22(4), 505-517.	South Africa		in Krantz, G. W. & Walter D. E. (2009) pp. 237	
168	1944	 The grasshopper mite: Eutrombidium (Hermann) an important enemy of grasshoppers	Severin, H. C.	Tech. Bull. Agr. Exp. Sta. S. D. St. Coll. 3. Brookings			in Krantz, G. W. & Walter D. E. (2009) pp. 279	Agroecosystem
169	1998	Selection of microfungal food by six oribatid mite species (Oribatida, Acari) from two different beech forests. 	Maraun, M. - Migge, S. - Schaefer, M. - Scheu, S. 	Pedobiologia. 12: 434-463	Germany	Feeding preference	in Krantz, G. W. & Walter D. E. (2009) pp. 442	Forest
170	1972	Studies on the oribatid mites of a Danish beech wood soil. I. Nutritional biology.	Luxton, M.	Pedobiologia. 42(3): 232-240.	Denmark		in Krantz, G. W. & Walter D. E. (2009) pp. 442, 461	Forest
171	1951	Zur ökologie der oribatiden in kalksteinböden	Riha, G.	Zool. jb. syst. 80: 408-405			in Krantz, G. W. & Walter D. E. (2009) pp. 442	Grassland
172	1960	Über die Ökologie und Verbreitung von Bodenmilben (Oribatei) am Alpen-Ostrand, insbesondere in der Steiermark.	Schuster, R. 	 Mitteilungen des Naturwissenschaftlichen Vereines für Steiermark, 90: 132-149	Austria		in Krantz, G. W. & Walter D. E. (2009) pp. 442	Forest
173	1989	Microarthropods in decaying wood from temperate coniferous and deciduous forests.	Seastedt, T. R. - Reddy, M. V. - Cline, S. P. 	Pedobiologia. 33(2): 69-77.			in Krantz, G. W. & Walter D. E. (2009) pp. 447	Forest
174	1987	Quantitative aspects of the feeding activity of some oribatid mites (Oribatida, Acari) in an alpine meadow ecosystem. 	Reutimann, P.	Pedobiologia 30: 425-433	Austria		in Krantz, G. W. & Walter D. E. (2009) pp. 449	Grassland
175	1962	Soil Oribatei V. Investigations on Platynothrus peltifer (Acarina: Camisiidae). 	Hartenstein, R.	Annals of the Entomological Society of America 55(6): 709-713.	Ireland	observation	in Krantz, G. W. & Walter D. E. (2009) pp. 450; in Faber 1991 pp. 112 - 113	Forest
176	1990	Niche relationships between two panphytophagous soil mites, Nothrus silvestris Nicolet (Acari, Oribatida, Nothridae) and Platynothrus peltifer (Koch)(Acari, Oribatida, Camisiidae). 	Siepel, H.	Biology and Fertility of Soils, 9(2): 139-144.	Netherland	enzymes	in Krantz, G. W. & Walter D. E. (2009) pp. 450	Grassland
179	1992	Die Oribatiden-Gemeinschaften (Acari) der verschiedenen Habitate eines Buchenwaldes.	Wunderle, I. 	Carolinea, 50(79), 144.	Germany	Laboratory observations	in Krantz, G. W. & Walter D. E. (2009) pp. 455, 469, 472	Forest
180	1956	Zur biologie einiger Belbiden (Oribatei: Moosmilben) und zur funktion ihter pseudostigmatischen organe	Pauly, F.	Zool. Jb. Syst. 84: 275 - 328		mouth parts analysis	in Krantz, G. W. & Walter D. E. (2009) pp. 455	
181	1956	Der Anteil der Oribatiden an den Zersetzungsvorgängen im boden. 	Schuster, R	Zeitschrift für Morphologie und Ökologie der Tiere, 45(1), 1-33.			in Krantz, G. W. & Walter D. E. (2009) pp. 458; in Faber 1991 pp. 112 - 113	Forest
182	1951	Étude sur les Zetorchestidae (Acariens, Oribates)	Grandjean, F.	Mem. Mus. Nat. Hist. Natur. Paris. (n. s.) sér. A. Zool. 4: 1 - 50			in Krantz, G. W. & Walter D. E. (2009) pp. 458	
183	1999	Mite communities of two epiphytic lichen species (Hypogymnia physodes and Parmelia sulcata) in the Czech Republic. 	Smrz, J. - Kocourková, J.	Pedobiologia, 43(5), 385-390.	Czech Republic	Laboratory observation	in Krantz, G. W. & Walter D. E. (2009) pp. 467	
186	1989	Oribatid mites (Acari: Cryptostigmata) associated with Pineapple (Aanas comosus) root at Kalyani, West Bengal, India. 	Sanyal, A. K. - Das, T. K.	Environment & Ecology, 7(4), 971-972.	India		in Krantz, G. W. & Walter D. E. (2009) pp. 470	Agroecosystem
187	1986	Two new species of oribatid mites of economic importance from China (Acari: Oribatida). 	Lan, W. - Xin, J. L. - Aoki, J. I.  	In Proceedings of the Japanese Society of Systematic Zoology (Vol. 34, pp. 27-31). The Japanese Society of Systematic Zoology.	China		in Krantz, G. W. & Walter D. E. (2009) pp. 470	
188	1976	Fungal feeding of Oribatid mites (Acari: Cryptostigmata) in an aspen woodland soil.	Mitchell, M. J. - Parkinson, D.	Ecology, 57(2), 302-312.			in Krantz, G. W. & Walter D. E. (2009) pp. 471; in Faber 1991 pp. 112 - 113	Forest
190	1995	Food preference and effects of food type on the life history of some soil Collembola. 	Chen, B. - Snider R. J. - Snider, R. M.	Pedobiologia, 39: 496-505.	Canada	Food preference	in Chahartaghi et al. 2005. pp. 1723	
192	1924	The Food of Collembola	Macnamara, C.	The Canadian Entomologist. 56(5): 99-105		review	; in Kenneth (1964) pp. 153	
193	1985	Aspects of the biology and systematics of soil arachnids, particularly saprophagous and mycophagous mites. 	Norton, R. A. 	Quaestiones Entomologicae, 21, 523-541.			in Walter 1988 pp. 160	
194	1976	New species of the genus Terpnacarus Grandjean (Acari: Terpnacaridae) with notes on the biology of one species. 	Theron, P. D.	Journal of the Entomological Society of Southern Africa, 39(1), 131-141.		Observation	in Walter 1988 pp. 160	
195	1932	Symphypleona of Australia. 	Womersley, H.	Counc. Sci. Industr. Res. Austr. 34.	Australia		in Poole B. T. pp 72	
196	1949	Biologische Beobachtungen an humusbildenden bodentieren insbesondere an Collembolen	Schaller, F.	Zool. Jb. Abt. Syst. 78: 506-525			in Poole B. T. pp 72	
197	1957	A Culture Method for Soil Meiofauna and Its Application To the Study of Nematode Predators 1. 	Murphy, P. W., & Doncaster, C. C	Nematologica, 2(3), 202-214.		laboratory assay	in Poole B. T. pp 72	
198	1988	Alimentary studies on the Collembolan Paratullbergia callipygos using transmission electron microscopy	Saur, É. - Ponge, JF.	Pedobiologia. 31(5-6): 355-379.		gut content		
199	1981	Succession, diversity and feeding habits of microarthropods in decomposing birch leaves.	Hágvar, S. - Kjondal, B. R.	Pedobiologia, 22, 385-408	United States	laboratory assay	in Faber 1991 pp. 112 - 113	Forest
201	1977	Feeding preferences for certain litter fungi by Onychiurus subtenuis (Collembola). 	Visser, S., & Whittaker, J. B.	Oikos. 29: 320-325.	Canada	Feeding preference	in Faber 1991 pp. 112 - 113	Forest
202	1983	Food and habitat specialization in coexisting springtails (Collembola, Entomobryidae).	Vegter, J. J., & JJ, V.	Pedobiologia 25: 253-262		Observation	in Faber 1991 pp. 112 - 113	
203	1976	Seasonal and microstratal dietary research on Tomocerus (Collembola) in two forested ecosystems of eastern North California. - 	Knight, C. B.	Rev. Ecol. Biol. Sol 13: 595- 610.	United States	Feeding behaviour in laboratory assay	in Faber 1991 pp. 112 - 113	Forest
205	1988	Etude ecologique d'un humus forestier par l'observation d'un petit volume. III. La couche F, d'un moder sous Pinus sylvestris. - 	Ponge, J. F. 	Pedobiologia 31: 1-64.		Observation	in Faber 1991 pp. 112 - 113	Forest
206	1985	Interactions between soil micro-arthropods and endomycorrhizal associations of higher plants.	Finlay, R. D.	In: Fitter, A. H., Atkinson, D., Read, D. J. and Usher, M. B. (eds), Ecological interactions in soil. Blackwell, Oxford, pp. 319-331.			in Faber 1991 pp. 112 - 113	
207	1979	Interactions of Collembola and microflora of cotton rhizosphere.	Wiggins, E. A. - Curl, E. A.	Phytopathology 69: 244-249.			in Faber 1991 pp. 112 - 113	Agroecosystem
208	1980	Untersuchungen zur Nahrungswahl von Onychiurus fimatus Gisin, einem Aufgangsschddling der Zuckerrube. - 	Ulber, B.	Z. angew. Ent. 90: 333-346.	Germany	laboratory assay	in Faber 1991 pp. 112 - 113	Agroecosystem - Laboratory
209	1985	Grazing preferences of Onychiurus armatus (Insecta: Collembola) for mycorrhizal and saprophytic fungi in pine plantations. 	Shaw PJA	In: Fitter AH (ed) Microbial interactions in soil. Blackwell, Oxford, pp 333 – 337		feeding choice experiment	in Schneider, K. et al 2005 pp. 68	Forest
210	1994	The feeding preference of mycophagous Collembola varies with the ectomycorrhizal symbiont.	Hiol Hiol F - Dixon RK - Curl EA	Mycorrhiza 5:99 – 103	United States	feeding choice experiment	in Schneider, K. et al 2005 pp. 68	Agroecosystem
211	1971	Interactions between a springtail, Hypogastrura tullbergi, and soil-borne fungi. 	Mills JT - Sinha RN	J Econ Entomol 64:398 – 401	Canada	feeding choice experiment	in Schneider, K. et al 2005 pp. 70	Agroecosystem
213	1972	Life cycle studies of some antarctic mites and description of a new species, Protereunetes paulinae (Acari: Eupodiae)	Gless, E. E.	Antartic Terrestrial Biology. LLano, G. A. (Ed.). Antarcic Research Series Vol. 20. pp. 289 - 306	Antarctica	Laboratory observations	in description on the biology	
215	2016	Biological studies of Laelpid predacious mites, Androlaelaps casalis, Berlese and Laelaps astronomicus Koch on two food types under three temperatures degrees	Mustafa, A. M. - Shalaby, F. F. - Yassin, E. M. A. - Khalil, A. M. - Eissa, Y. A. E. - Shahata, F. E.	Menoufia J. Plant Prot. 1: 111 - 119	Egypt	laboratory assay , feeding for charasteristics of biology	in Metodology	Laboratory
217	1962	Räuberische Milben im Boden. 	Karg, W.	Wittenberg Lutherstadt, Wittenberg, p 64			in Bowmann 2021 pp. 4	
218	1984	Terrestrial microbiology, invertebrates and ecosystems. 	Block, W.	In: Laws RM (ed) Antarct Ecol,  vol 1. Academic Press, Sydney, pp 163–236	Antarctica		in Bowmann 2021 pp. 4	
