ID;CLASE;SUBCLASE;SUPERORDER;ORDER;SUBORDER;SUPERCOHORT;COHORT;SUBCOHORT;SUPERFAMILY;FAMILY;GENERA;SPECIE;G_SP;RESOURCE;METHOD;TAXONOMIC_LEVEL;Cita
2687;Entognatha;Collembola;;Arthropleona;;;;;Entomobryoidea;Isotomidae;Parisotoma;notabilis;Parisotoma notabilis;sap. fun.;gut;SPECIE;244
2688;Entognatha;Collembola;;Arthropleona;;;;;Entomobryoidea;Isotomidae;Parisotoma;notabilis;Parisotoma notabilis;litter;gut;SPECIE;244
2689;Entognatha;Collembola;;Arthropleona;;;;;Entomobryoidea;Isotomidae;Parisotoma;notabilis;Parisotoma notabilis;carrion;gut;SPECIE;244
2690;Entognatha;Collembola;;Arthropleona;;;;;Entomobryoidea;Isotomidae;Parisotoma;notabilis;Parisotoma notabilis;humus;gut;SPECIE;244
2691;Entognatha;Collembola;;Arthropleona;;;;;Entomobryoidea;Isotomidae;Folsomia;nivalis;Folsomia nivalis;sap. fun.;gut;SPECIE;244
2692;Entognatha;Collembola;;Arthropleona;;;;;Entomobryoidea;Isotomidae;Folsomia;nivalis;Folsomia nivalis;litter;gut;SPECIE;244
2693;Entognatha;Collembola;;Arthropleona;;;;;Entomobryoidea;Isotomidae;Folsomia;nivalis;Folsomia nivalis;carrion;gut;SPECIE;244
2694;Entognatha;Collembola;;Arthropleona;;;;;Entomobryoidea;Isotomidae;Folsomia;nivalis;Folsomia nivalis;humus;gut;SPECIE;244
2695;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Hypogastruridae;Mitchellania;vulgaris;Mitchellania vulgaris;litter;gut;SPECIE;244
2696;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Hypogastruridae;Mitchellania;vulgaris;Mitchellania vulgaris;sap. fun.;gut;SPECIE;244
2697;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Hypogastruridae;Mitchellania;vulgaris;Mitchellania vulgaris;humus;gut;SPECIE;244
2698;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Onychiuridae;Heteraphorura;subtenuis;Heteraphorura subtenuis;sap. fun.;gut;SPECIE;244
2699;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Onychiuridae;Heteraphorura;subtenuis;Heteraphorura subtenuis;litter;gut;SPECIE;244
2700;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Onychiuridae;Heteraphorura;subtenuis;Heteraphorura subtenuis;carrion;gut;SPECIE;244
2701;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Onychiuridae;Heteraphorura;cocklei;Heteraphorura cocklei;sap. fun.;gut;SPECIE;244
2702;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Onychiuridae;Heteraphorura;cocklei;Heteraphorura cocklei;litter;gut;SPECIE;244
2703;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Onychiuridae;Heteraphorura;cocklei;Heteraphorura cocklei;carrion;gut;SPECIE;244
2704;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Onychiuridae;Hymenaphorura;cocklei;Hymenaphorura cocklei;sap. fun.;gut;SPECIE;244
2705;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Onychiuridae;Hymenaphorura;cocklei;Hymenaphorura cocklei;carrion;gut;SPECIE;244
2706;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Onychiuridae;Allonychiurus;flavescens;Allonychiurus flavescens;sap. fun.;gut;SPECIE;244
2707;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Onychiuridae;Allonychiurus;flavescens;Allonychiurus flavescens;litter;gut;SPECIE;244
